GID,PID,OFF,DEF,TYPE,DSEQ,LEN,QTR,MIN,SEC,PTSO,PTSD,DWN,YTG,YFOG,ZONE,PTS,FGXP,FKICKER,DIST,GOOD,SEAS,WEEK,DAY,V,H,STAD,TEMP,HUMD,WSPD,COND,SURF,COND2
418,67747,PHI,KC,FGXP,9,13,2,5,30,10,0,4,15,85,5,3,FG,DA-030,33,1,2001,12,TN,PHI,KC,ArrowheadStadium,35,49,7,Cloudy,Grass,Clean
418,67807,PHI,KC,FGXP,11,13,4,12,33,20,10,4,2,80,5,3,FG,DA-030,38,1,2001,12,TN,PHI,KC,ArrowheadStadium,35,49,7,Cloudy,Grass,Clean
2348,380736,MIA,KC,FGXP,9,3,1,11,52,7,0,4,16,84,5,3,FG,DC-050,34,1,2008,16,SUN,MIA,KC,ArrowheadStadium,10,45,20,Sunny,Grass,Clean
3038,493227,MIA,KC,FGXP,12,4,4,8,12,28,3,4,8,76,4,3,FG,DC-050,42,1,2011,9,SUN,MIA,KC,ArrowheadStadium,62,45,12,Cloudy,Grass,Clean
1921,312144,KC,JAC,FGXP,9,3,1,11,2,0,0,4,11,87,5,NA,FG,DR-060,31,0,2007,5,SUN,JAC,KC,ArrowheadStadium,78,76,10,Cloudy,Grass,Clean
2022,328586,KC,OAK,FGXP,9,3,4,10,54,17,13,4,9,85,5,NA,FG,DR-060,33,0,2007,12,SUN,OAK,KC,ArrowheadStadium,43,60,6,Sunny,Grass,Clean
1987,322876,KC,DEN,FGXP,11,3,4,14,24,11,20,4,10,65,4,NA,FG,DR-060,53,0,2007,10,SUN,DEN,KC,ArrowheadStadium,69,70,15,Cloudy,Grass,Clean
1930,313593,KC,CIN,FGXP,10,3,2,0,5,17,7,4,1,98,5,3,FG,DR-060,20,1,2007,6,SUN,CIN,KC,ArrowheadStadium,68,56,12,Cloudy,Grass,Clean
2022,328517,KC,OAK,FGXP,11,3,2,6,17,7,6,4,6,88,5,3,FG,DR-060,30,1,2007,12,SUN,OAK,KC,ArrowheadStadium,43,60,6,Sunny,Grass,Clean
1930,313519,KC,CIN,FGXP,12,3,1,9,50,0,0,4,7,86,5,3,FG,DR-060,32,1,2007,6,SUN,CIN,KC,ArrowheadStadium,68,56,12,Cloudy,Grass,Clean
1987,322823,KC,DEN,FGXP,11,4,2,2,44,5,6,4,15,82,5,3,FG,DR-060,36,1,2007,10,SUN,DEN,KC,ArrowheadStadium,69,70,15,Cloudy,Grass,Clean
1987,322779,KC,DEN,FGXP,6,4,1,5,42,0,3,4,10,79,4,3,FG,DR-060,38,1,2007,10,SUN,DEN,KC,ArrowheadStadium,69,70,15,Cloudy,Grass,Clean
1891,307391,KC,MIN,FGXP,7,3,2,3,40,0,10,4,16,79,4,3,FG,DR-060,39,1,2007,3,SUN,MIN,KC,ArrowheadStadium,83,52,5,Sunny,Grass,Clean
1987,322859,KC,DEN,FGXP,13,3,3,7,40,8,20,4,4,80,5,3,FG,DR-060,39,1,2007,10,SUN,DEN,KC,ArrowheadStadium,69,70,15,Cloudy,Grass,Clean
1891,307427,KC,MIN,FGXP,13,3,3,3,9,3,10,4,8,69,4,3,FG,DR-060,49,1,2007,3,SUN,MIN,KC,ArrowheadStadium,83,52,5,Sunny,Grass,Clean
2273,368906,NO,KC,FGXP,12,3,2,0,2,10,10,4,4,95,5,3,FG,GH-060,23,1,2008,11,SUN,NO,KC,ArrowheadStadium,53,45,13,Sunny,Grass,Clean
2273,368865,NO,KC,FGXP,9,2,1,0,31,0,7,4,4,88,5,3,FG,GH-060,30,1,2008,11,SUN,NO,KC,ArrowheadStadium,53,45,13,Sunny,Grass,Clean
2273,368981,NO,KC,FGXP,12,4,4,3,32,27,20,4,1,83,5,3,FG,GH-060,35,1,2008,11,SUN,NO,KC,ArrowheadStadium,53,45,13,Sunny,Grass,Clean
541,87694,JAC,KC,FGXP,6,6,3,1,51,9,6,4,6,76,4,NA,FG,HE-010,43,0,2002,2,SUN,JAC,KC,ArrowheadStadium,66,75,7,Sunny,Grass,Clean
541,87666,JAC,KC,FGXP,11,3,2,0,1,6,6,4,4,92,5,3,FG,HE-010,26,1,2002,2,SUN,JAC,KC,ArrowheadStadium,66,75,7,Sunny,Grass,Clean
37,5938,SD,KC,FGXP,9,3,3,14,25,10,14,4,4,67,4,NA,FG,JC-090,51,0,2000,3,SUN,SD,KC,ArrowheadStadium,88,26,0,Sunny,Grass,Clean
37,5879,SD,KC,FGXP,10,3,1,2,1,7,0,4,7,64,4,3,FG,JC-090,54,1,2000,3,SUN,SD,KC,ArrowheadStadium,88,26,0,Sunny,Grass,Clean
1921,312195,JAC,KC,FGXP,9,3,2,2,29,10,0,4,10,70,4,NA,FG,JC-090,48,0,2007,5,SUN,JAC,KC,ArrowheadStadium,78,76,10,Cloudy,Grass,Clean
1921,312164,JAC,KC,FGXP,18,3,1,0,1,0,0,4,2,98,5,3,FG,JC-090,20,1,2007,5,SUN,JAC,KC,ArrowheadStadium,78,76,10,Cloudy,Grass,Clean
2072,336634,KC,TEN,FGXP,14,3,3,3,55,14,13,4,4,83,5,3,FG,JC-090,36,1,2007,15,SUN,TEN,KC,ArrowheadStadium,22,71,6,Sunny,Grass,Clean
